"dpmc","cpmc","cpjg","cpxl","splj","cppj"
"瑞创恒泰数码专营店","Apple/苹果 iPhone 6 Plus","¥3799.00","该款月成交 122笔","https://detail.tmall.com/item.htm?id=559278427180&skuId=3676125987892&user_id=3430432241&cat_id=2&is_b=1&rn=1468fef90477adf695f250ab14245e4c",
"8848手机官方旗舰店","8848 M3尊享版钛金手机","¥9999.00","该款月成交 1819笔","https://detail.tmall.com/item.htm?id=563568192322&skuId=3554151785869&user_id=2966545063&cat_id=2&is_b=1&rn=1468fef90477adf695f250ab14245e4c",
"时器数码专营店","OPPO R11前后2000w 拍照更清晰","¥2999.00","该款月成交 1130笔","https://detail.tmall.com/item.htm?id=552216704416&skuId=3408033825224&user_id=1732742584&cat_id=2&is_b=1&rn=1468fef90477adf695f250ab14245e4c",
"努比亚官方旗舰店","nubia/努比亚 z17 mini双摄双1300万索尼摄像头","¥1099.00","该款月成交 8387笔","https://detail.tmall.com/item.htm?id=547561600523&skuId=3342504761526&user_id=1677335387&cat_id=2&is_b=1&rn=1468fef90477adf695f250ab14245e4c",
"oppo酷炫专卖店","OPPO R11 Plus","¥3299.00","该款月成交 333笔","https://detail.tmall.com/item.htm?id=553678008963&skuId=3404071248638&user_id=598270411&cat_id=2&is_b=1&rn=1468fef90477adf695f250ab14245e4c",
"美图百诚世纪专卖店","Meitu/美图 T8s美颜自拍、电影级虚化","¥4099.00","该款月成交 5250笔","https://detail.tmall.com/item.htm?id=558890254168&skuId=3666515363424&user_id=2973189474&cat_id=2&is_b=1&rn=1468fef90477adf695f250ab14245e4c",
"能良数码官方旗舰店","Apple/苹果 iPhone 5s","¥1408.00","该款月成交 2521笔","https://detail.tmall.com/item.htm?id=27465092661&skuId=3628224174414&user_id=263726286&cat_id=2&is_b=1&rn=1468fef90477adf695f250ab14245e4c",
"蓝港数码专营店","honor/荣耀 荣耀V9 play全网通金属机身 八核芯片","¥798.00","该款月成交 6718笔","https://detail.tmall.com/item.htm?id=558270665293&skuId=3634362138523&user_id=2215302589&cat_id=2&is_b=1&rn=1468fef90477adf695f250ab14245e4c",
"努比亚官方旗舰店","nubia/努比亚 z17s无边框","¥2999.00","该款月成交 1602笔","https://detail.tmall.com/item.htm?id=559017773532&skuId=3646174707048&user_id=1677335387&cat_id=2&is_b=1&rn=1468fef90477adf695f250ab14245e4c",
"8848手机官方旗舰店","8848（数码） 8848 M3尊享版荷兰进口小牛皮双卡双待128G内存","¥9999.00","该款月成交 257笔","https://detail.tmall.com/item.htm?id=537228153621&skuId=3207657293068&user_id=2966545063&cat_id=2&is_b=1&rn=1468fef90477adf695f250ab14245e4c",
"360手机旗舰店","360 N6Pro","¥1699.00","该款月成交 1.4万笔","https://detail.tmall.com/item.htm?id=563127849861&skuId=3544605676976&user_id=2067447407&cat_id=2&is_b=1&rn=1468fef90477adf695f250ab14245e4c",
